library,operation,iter,microseconds
mlkem-native,keygen,288,15.5690
mlkem-native,keygen,289,15.8640
mlkem-native,keygen,290,18.1830
mlkem-native,keygen,291,17.0480
mlkem-native,keygen,292,18.2660
mlkem-native,keygen,293,16.6160
mlkem-native,keygen,294,15.5060
mlkem-native,keygen,295,15.4990
mlkem-native,keygen,296,15.3830
mlkem-native,keygen,297,15.7490
mlkem-native,keygen,298,16.9380
mlkem-native,keygen,299,15.8620
mlkem-native,keygen,300,15.7230
mlkem-native,keygen,301,15.3070
mlkem-native,keygen,302,15.4330
mlkem-native,keygen,303,15.4290
mlkem-native,keygen,304,15.4830
mlkem-native,keygen,305,15.5640
mlkem-native,keygen,306,15.7730
mlkem-native,keygen,307,15.4870
mlkem-native,keygen,308,15.5510
mlkem-native,keygen,309,15.5660
mlkem-native,keygen,310,15.7620
mlkem-native,keygen,311,15.6510
mlkem-native,keygen,312,16.7880
mlkem-native,keygen,313,17.0660
mlkem-native,keygen,314,15.9860
mlkem-native,keygen,315,15.5720
mlkem-native,keygen,316,15.4250
mlkem-native,keygen,317,15.6590
mlkem-native,keygen,318,15.5330
mlkem-native,keygen,319,15.8020
mlkem-native,keygen,320,15.5980
mlkem-native,keygen,321,15.3970
mlkem-native,keygen,322,16.0950
mlkem-native,keygen,323,16.9220
mlkem-native,keygen,324,16.8800
mlkem-native,keygen,325,15.4950
mlkem-native,keygen,326,15.7670
mlkem-native,keygen,327,15.3450
mlkem-native,keygen,328,15.8070
mlkem-native,keygen,329,15.7360
mlkem-native,keygen,330,15.5060
mlkem-native,keygen,331,15.4690
mlkem-native,keygen,332,23.4590
mlkem-native,keygen,333,16.8730
mlkem-native,keygen,334,16.6630
mlkem-native,keygen,335,15.9400
mlkem-native,keygen,336,15.7690
mlkem-native,keygen,337,15.7230
mlkem-native,keygen,338,15.7670
mlkem-native,keygen,339,15.8270
mlkem-native,keygen,340,15.9290
mlkem-native,keygen,341,15.9650
mlkem-native,keygen,342,15.8200
mlkem-native,keygen,343,15.8740
mlkem-native,keygen,344,15.8420
mlkem-native,keygen,345,15.7270
mlkem-native,keygen,346,15.8150
mlkem-native,keygen,347,15.9170
mlkem-native,keygen,348,16.6500
mlkem-native,keygen,349,15.9430
mlkem-native,keygen,350,15.8380
mlkem-native,keygen,351,15.7300
mlkem-native,keygen,352,15.6690
mlkem-native,keygen,353,15.8220
mlkem-native,keygen,354,15.6150
mlkem-native,keygen,355,15.9340
mlkem-native,keygen,356,15.5890
mlkem-native,keygen,357,15.8130
mlkem-native,keygen,358,15.8250
mlkem-native,keygen,359,15.8530
mlkem-native,keygen,360,15.7610
mlkem-native,keygen,361,15.7670
mlkem-native,keygen,362,15.7910
mlkem-native,keygen,363,15.6810
mlkem-native,keygen,364,15.6770
mlkem-native,keygen,365,15.9130
mlkem-native,keygen,366,15.6400
mlkem-native,keygen,367,15.8150
mlkem-native,keygen,368,15.6590
mlkem-native,keygen,369,15.6350
mlkem-native,keygen,370,15.7280
mlkem-native,keygen,371,15.8530
mlkem-native,keygen,372,15.9280
mlkem-native,keygen,373,15.9840
mlkem-native,keygen,374,16.2350
mlkem-native,keygen,375,16.1100
mlkem-native,keygen,376,16.7960
mlkem-native,keygen,377,15.7100
mlkem-native,keygen,378,15.6930
mlkem-native,keygen,379,15.6580
mlkem-native,keygen,380,15.7140
mlkem-native,keygen,381,15.5910
mlkem-native,keygen,382,15.7560
mlkem-native,keygen,383,15.7910
mlkem-native,keygen,384,15.8220
mlkem-native,keygen,385,15.6810
mlkem-native,keygen,386,15.6420
mlkem-native,keygen,387,15.6570
mlkem-native,keygen,388,15.7770
