library,operation,iter,microseconds
mlkem-native-avx2,keygen,397,5.5270
mlkem-native-avx2,keygen,398,5.4600
mlkem-native-avx2,keygen,399,5.4540
mlkem-native-avx2,keygen,400,5.4940
mlkem-native-avx2,keygen,401,5.4990
mlkem-native-avx2,keygen,402,5.5760
mlkem-native-avx2,keygen,403,5.5230
mlkem-native-avx2,keygen,404,5.5530
mlkem-native-avx2,keygen,405,5.5050
mlkem-native-avx2,keygen,406,5.4730
mlkem-native-avx2,keygen,407,5.4660
mlkem-native-avx2,keygen,408,5.4510
mlkem-native-avx2,keygen,409,5.4570
mlkem-native-avx2,keygen,410,5.4520
mlkem-native-avx2,keygen,411,5.4540
mlkem-native-avx2,keygen,412,5.5190
mlkem-native-avx2,keygen,413,5.5400
mlkem-native-avx2,keygen,414,5.5110
mlkem-native-avx2,keygen,415,5.5130
mlkem-native-avx2,keygen,416,5.4550
mlkem-native-avx2,keygen,417,5.9690
mlkem-native-avx2,keygen,418,5.4710
mlkem-native-avx2,keygen,419,5.4890
mlkem-native-avx2,keygen,420,5.9620
mlkem-native-avx2,keygen,421,5.5250
mlkem-native-avx2,keygen,422,5.5280
mlkem-native-avx2,keygen,423,5.5210
mlkem-native-avx2,keygen,424,5.4830
mlkem-native-avx2,keygen,425,5.4890
mlkem-native-avx2,keygen,426,5.5100
mlkem-native-avx2,keygen,427,5.9460
mlkem-native-avx2,keygen,428,5.4860
mlkem-native-avx2,keygen,429,5.5320
mlkem-native-avx2,keygen,430,5.4380
mlkem-native-avx2,keygen,431,6.5270
mlkem-native-avx2,keygen,432,4.9560
mlkem-native-avx2,keygen,433,5.0280
mlkem-native-avx2,keygen,434,5.0170
mlkem-native-avx2,keygen,435,5.0090
mlkem-native-avx2,keygen,436,5.0320
mlkem-native-avx2,keygen,437,4.9730
mlkem-native-avx2,keygen,438,4.9830
mlkem-native-avx2,keygen,439,5.0060
mlkem-native-avx2,keygen,440,5.0030
mlkem-native-avx2,keygen,441,5.0180
mlkem-native-avx2,keygen,442,5.0610
mlkem-native-avx2,keygen,443,5.0020
mlkem-native-avx2,keygen,444,5.0070
